id,canonical_name,steam_app_id,released_at,aliases
elden-ring,Elden Ring,1245620,2022-02-25,"elden ring,eldenring,ER,tarnished"
elden-ring-nightreign,Elden Ring Nightreign,,2025-05-30,"nightreign,elden ring nightreign,ER:N"
baldurs-gate-3,Baldur's Gate 3,1086940,2023-08-03,"baldurs gate 3,baldur's gate 3,bg3,baldurs gate iii"
hades-2,Hades II,1145350,2024-05-06,"hades 2,hades ii,hades2"
helldivers-2,Helldivers 2,553850,2024-02-08,"helldivers 2,helldivers ii,hd2"
cyberpunk-2077,Cyberpunk 2077,1091500,2020-12-10,"cyberpunk,cyberpunk 2077,cp2077,cp77"
the-witcher-3,The Witcher 3: Wild Hunt,292030,2015-05-19,"witcher 3,the witcher 3,tw3,wild hunt"
stardew-valley,Stardew Valley,413150,2016-02-26,"stardew,stardew valley,sdv"
hollow-knight,Hollow Knight,367520,2017-02-24,"hollow knight,hk,hollowknight"
hollow-knight-silksong,Hollow Knight: Silksong,1030300,,"silksong,hollow knight silksong,hk silksong"
hades,Hades,1145360,2020-09-17,"hades,hades 1"
balatro,Balatro,2379780,2024-02-20,"balatro"
palworld,Palworld,1623730,2024-01-19,"palworld,pal world"
black-myth-wukong,Black Myth: Wukong,2358720,2024-08-20,"black myth wukong,wukong,black myth"
manor-lords,Manor Lords,1363080,2024-04-26,"manor lords,manorlords"
dark-souls-3,Dark Souls III,374320,2016-04-12,"dark souls 3,dark souls iii,ds3,dks3"
sekiro,Sekiro: Shadows Die Twice,814380,2019-03-22,"sekiro,sekiro shadows die twice"
bloodborne,Bloodborne,,2015-03-24,"bloodborne,bb"
red-dead-redemption-2,Red Dead Redemption 2,1174180,2019-12-05,"red dead 2,rdr2,red dead redemption 2"
the-last-of-us-2,The Last of Us Part II,2531310,2025-04-03,"tlou2,last of us 2,the last of us part 2"
